theta,correlation rate
-0.2512,0.107611
-0.24492,0.107186
-0.23864,0.10799
-0.23236,0.109019
-0.22608,0.112001
-0.2198,0.113266
-0.21352,0.116019
-0.20724,0.127894
-0.20096,0.135772
-0.19468,0.146205
-0.1884,0.160908
-0.18212,0.175028
-0.17584,0.182655
-0.16956,0.182059
-0.16328,0.187198
-0.157,0.187424
-0.15072,0.185891
-0.14444,0.183982
-0.13816,0.18716
-0.13188,0.199917
-0.1256,0.209658
-0.11932,0.229676
-0.11304,0.247538
-0.10676,0.263808
-0.10048,0.278018
-0.0942,0.289033
-0.08792,0.302563
-0.08164,0.301421
-0.07536,0.305002
-0.06908,0.303484
-0.0628,0.300764
-0.05652,0.305461
-0.05024,0.324352
-0.04396,0.346529
-0.03768,0.394918
-0.0314,0.444249
-0.02512,0.490111
-0.01884,0.548108
-0.01256,0.660329
-0.00628,0.768973
-2.21923e-14,0.790694
0.00628,0.727793
0.01256,0.680115
0.01884,0.58255
0.02512,0.507949
0.0314,0.449852
0.03768,0.401043
0.04396,0.371076
0.05024,0.355934
0.05652,0.347873
0.0628,0.350287
0.06908,0.345109
0.07536,0.328662
0.08164,0.319026
0.08792,0.313208
0.0942,0.288501
0.10048,0.274538
0.10676,0.2587
0.11304,0.241899
0.11932,0.228091
0.1256,0.217879
0.13188,0.212789
0.13816,0.205834
0.14444,0.202578
0.15072,0.194701
0.157,0.178774
0.16328,0.168514
0.16956,0.166062
0.17584,0.163662
0.18212,0.162378
0.1884,0.1566
0.19468,0.148725
0.20096,0.146029
0.20724,0.140616
0.21352,0.133354
0.2198,0.129372
0.22608,0.135902
0.23236,0.134025
0.23864,0.125883
0.24492,0.118742
0.2512,0.110717
0.25748,0.102129
0.26376,0.0902488
0.27004,0.0905514
0.27632,0.0791568
0.2826,0.0709176
0.28888,0.0638132
0.29516,0.0595296
0.30144,0.056457
0.30772,0.0563867
0.314,0.0574836
0.32028,0.0558943
0.32656,0.056409
0.33284,0.05153
0.33912,0.047484
0.3454,0.0498475
0.35168,0.0513676
0.35796,0.0504504
0.36424,0.0441344
0.37052,0.0442625
0.3768,0.0403559
0.38308,0.0375113
0.38936,0.031906
0.39564,0.0295516
0.40192,0.024701
0.4082,0.0210893
0.41448,0.0140404
0.42076,0.00800265
0.42704,0.00561309
0.43332,0.00445956
0.4396,0.00425261
0.44588,0.00264102
0.45216,-0.00467734
0.45844,-0.0105441
0.46472,-0.0143875
0.471,-0.018807
0.47728,-0.0261374
0.48356,-0.03313
0.48984,-0.0396767
0.49612,-0.0479247
0.5024,-0.0512225
0.50868,-0.0526781
0.51496,-0.0485412
0.52124,-0.0437544
0.52752,-0.0444146
0.5338,-0.0451577
0.54008,-0.0482163
0.54636,-0.0479954
0.55264,-0.0505622
0.55892,-0.0517319
0.5652,-0.0556421
0.57148,-0.0531839
0.57776,-0.0543997
0.58404,-0.0556538
0.59032,-0.0559581
0.5966,-0.0539185
0.60288,-0.0512423
0.60916,-0.0525488
0.61544,-0.0538154
0.62172,-0.0595562
0.628,-0.0646954
0.63428,-0.0675935
0.64056,-0.0695775
0.64684,-0.0733012
0.65312,-0.0793396
0.6594,-0.08629
0.66568,-0.0935467
0.67196,-0.0971197
0.67824,-0.0979216
0.68452,-0.100724
0.6908,-0.0969973
0.69708,-0.0968806
0.70336,-0.0916711
0.70964,-0.0887706
0.71592,-0.0889909
0.7222,-0.0864419
0.72848,-0.0826569
0.73476,-0.0819359
0.74104,-0.0834146
0.74732,-0.0839757
0.7536,-0.0854703
0.75988,-0.0904635
0.76616,-0.0979357
0.77244,-0.105163
0.77872,-0.10982
0.785,-0.114124
0.79128,-0.118414
0.79756,-0.120504
0.80384,-0.12251
0.81012,-0.124793
0.8164,-0.126733
0.82268,-0.127414
0.82896,-0.129221
0.83524,-0.128513
0.84152,-0.12749
0.8478,-0.127889
0.85408,-0.12734
0.86036,-0.128808
0.86664,-0.127682
0.87292,-0.124989
0.8792,-0.122663
0.88548,-0.120909
0.89176,-0.12159
0.89804,-0.124438
0.90432,-0.127023
0.9106,-0.131928
0.91688,-0.135166
0.92316,-0.139961
0.92944,-0.144669
0.93572,-0.145484
0.942,-0.145656
0.94828,-0.14149
0.95456,-0.141548
0.96084,-0.142265
0.96712,-0.145668
0.9734,-0.14546
0.97968,-0.145563
0.98596,-0.143471
0.99224,-0.142663
0.99852,-0.142636
1.0048,-0.142226
1.01108,-0.139302
1.01736,-0.132468
1.02364,-0.128061
1.02992,-0.124886
1.0362,-0.124728
1.04248,-0.124318
1.04876,-0.119629
1.05504,-0.123314
1.06132,-0.120546
1.0676,-0.127808
1.07388,-0.133456
1.08016,-0.139875
1.08644,-0.140305
1.09272,-0.140586
1.099,-0.137399
1.10528,-0.135937
1.11156,-0.127145
1.11784,-0.121615
1.12412,-0.116849
1.1304,-0.111098
1.13668,-0.107779
1.14296,-0.10822
1.14924,-0.106392
1.15552,-0.0966187
1.1618,-0.0926364
1.16808,-0.0950494
1.17436,-0.097243
1.18064,-0.0978788
1.18692,-0.098036
1.1932,-0.100586
1.19948,-0.0959366
1.20576,-0.0941398
1.21204,-0.092739
1.21832,-0.0933979
1.2246,-0.0943519
1.23088,-0.0957433
1.23716,-0.0989719
1.24344,-0.100836
1.24972,-0.102751
1.256,-0.100685
1.26228,-0.10256
1.26856,-0.10122
1.27484,-0.0997825
1.28112,-0.0916368
1.2874,-0.0851031
1.29368,-0.0757715
1.29996,-0.0645178
1.30624,-0.0627565
1.31252,-0.0536616
1.3188,-0.0553228
1.32508,-0.0590322
1.33136,-0.0635125
1.33764,-0.059859
1.34392,-0.0591676
1.3502,-0.0577511
1.35648,-0.053556
1.36276,-0.0489119
1.36904,-0.0440323
1.37532,-0.0386556
1.3816,-0.0318664
1.38788,-0.0297099
1.39416,-0.0284034
