p_x,loss
15.4,0.113669
15.5,0.113971
15.6,0.114692
15.7,0.115834
15.8,0.117396
15.9,0.119378
16,0.122555
16.1,0.120929
16.2,0.119726
16.3,0.118946
16.4,0.118588
16.5,0.118653
16.6,0.119142
16.7,0.120053
16.8,0.121386
16.9,0.123143
17,0.126127
17.1,0.124332
17.2,0.122963
17.3,0.122019
17.4,0.121501
17.5,0.121408
17.6,0.121741
17.7,0.1225
17.8,0.123685
17.9,0.125295
18,0.128155
18.1,0.126404
18.2,0.125082
18.3,0.124188
18.4,0.123722
18.5,0.123686
18.6,0.124077
18.7,0.124898
18.8,0.126147
18.9,0.127824
19,0.130777
19.1,0.129204
19.2,0.128061
19.3,0.127351
19.4,0.127071
19.5,0.127224
19.6,0.127807
19.7,0.128823
19.8,0.130269
19.9,0.132148
20,0.135341
20.1,0.133953
20.2,0.132999
20.3,0.13248
20.4,0.132396
20.5,0.132745
20.6,0.13353
20.7,0.134748
20.8,0.136402
20.9,0.138489
21,0.141946
21.1,0.140628
21.2,0.139748
21.3,0.139305
21.4,0.1393
21.5,0.139732
21.6,0.140602
21.7,0.141909
21.8,0.143653
21.9,0.145835
22,0.149447
22.1,0.147992
22.2,0.146977
22.3,0.146402
22.4,0.146268
22.5,0.146574
22.6,0.147321
22.7,0.148508
22.8,0.150136
22.9,0.152204
23,0.155757
23.1,0.154076
23.2,0.152839
23.3,0.152045
23.4,0.151695
23.5,0.151788
23.6,0.152325
23.7,0.153306
23.8,0.15473
23.9,0.156598
24,0.15999
24.1,0.158232
24.2,0.156922
24.3,0.156058
24.4,0.155641
24.5,0.15567
24.6,0.156146
24.7,0.157069
24.8,0.158439
24.9,0.160255
25,0.163632
25.1,0.161909
25.2,0.160636
25.3,0.159814
25.4,0.159441
25.5,0.159518
25.6,0.160044
25.7,0.161021
25.8,0.162447
25.9,0.164324
26,0.167801
26.1,0.166078
26.2,0.164808
26.3,0.163991
26.4,0.163627
26.5,0.163716
26.6,0.164258
26.7,0.165253
26.8,0.166701
26.9,0.168603
27,0.172148
27.1,0.170422
27.2,0.169153
27.3,0.168341
27.4,0.167984
27.5,0.168084
27.6,0.168641
27.7,0.169653
27.8,0.171122
27.9,0.173047
28,0.176661
28.1,0.174963
28.2,0.173725
28.3,0.172947
28.4,0.172629
28.5,0.17277
28.6,0.17337
28.7,0.174431
28.8,0.175951
28.9,0.17793
29,0.181645
29.1,0.179981
29.2,0.17878
29.3,0.178042
29.4,0.177767
29.5,0.177955
29.6,0.178606
29.7,0.17972
29.8,0.181297
29.9,0.183337
30,0.187125
30.1,0.185509
30.2,0.184359
30.3,0.183675
30.4,0.183458
30.5,0.183707
