theta,correlation rate
2.66272,-0.237759
2.669,-0.239253
2.67528,-0.239928
2.68156,-0.24352
2.68784,-0.244196
2.69412,-0.245775
2.7004,-0.247484
2.70668,-0.249266
2.71296,-0.251038
2.71924,-0.252583
2.72552,-0.254001
2.7318,-0.2559
2.73808,-0.256858
2.74436,-0.258617
2.75064,-0.259809
2.75692,-0.260954
2.7632,-0.26233
2.76948,-0.263201
2.77576,-0.264188
2.78204,-0.265097
2.78832,-0.266221
2.7946,-0.267246
2.80088,-0.26862
2.80716,-0.270151
2.81344,-0.271218
2.81972,-0.27282
2.826,-0.273635
2.83228,-0.274723
2.83856,-0.275672
2.84484,-0.276654
2.85112,-0.277106
2.8574,-0.277611
2.86368,-0.277905
2.86996,-0.278295
2.87624,-0.278664
2.88252,-0.279075
2.8888,-0.27946
2.89508,-0.279621
2.90136,-0.279771
2.90764,-0.280138
2.91392,-0.280606
2.9202,-0.280756
2.92648,-0.280829
2.93276,-0.280823
2.93904,-0.280672
2.94532,-0.280437
2.9516,-0.279012
2.95788,-0.278935
2.96416,-0.278608
2.97044,-0.278189
2.97672,-0.277418
2.983,-0.276928
2.98928,-0.276731
2.99556,-0.276267
3.00184,-0.275539
3.00812,-0.274999
3.0144,-0.274575
3.02068,-0.274143
3.02696,-0.273719
3.03324,-0.2734
3.03952,-0.272926
3.0458,-0.272266
3.05208,-0.27198
3.05836,-0.271463
3.06464,-0.271228
3.07092,-0.271082
3.0772,-0.270449
3.08348,-0.269684
3.08976,-0.268714
3.09604,-0.268091
3.10232,-0.267602
3.1086,-0.267653
3.11488,-0.266804
3.12116,-0.265368
3.12744,-0.265246
3.13372,-0.265263
